"agno";"rbd";"nom_rbd";"mrun";"doc_genero";"doc_fec_nac";"cod_sec";"cod_espe";"cod_ense";"cod_grado"
2019;8485;"LICEO INSTITUTO NACIONAL";11001679;2;198009;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9859059;1;197602;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";111208;1;197907;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";619992;1;197501;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";24346046;1;198901;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14544574;1;196408;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9859059;1;197602;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";12720419;2;196111;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";11001679;2;198009;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6502184;1;197401;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20265568;2;195712;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16610759;2;195902;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";21735449;2;198507;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";619992;1;197501;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";19077964;1;198708;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";21575233;1;196508;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";12720419;2;196111;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7356764;2;197305;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";11187069;1;198601;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";619992;1;197501;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";2007469;1;196811;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20340903;2;197710;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";619992;1;197501;0;0;310;1
